need_number,substations,studied_with,county,requesting_entity,is_data_center,mw_current,mw_history,revised,in_service,first_seen,last_seen,meetings,latest_stage,driver
DOM-2025-0032,Mudd Tavern,,Caroline,,yes,300.0,20251008:300.0,,08/01/2029,20251008,20260203,3,Solutions Meeting,Customer Service
DOM-2024-0031,Duval | Midlothian | Winterpock,,Chesterfield,DEV,,,,,5/01/2027,20250204,20250204,2,Solution Meeting,Customer Service
DOM-2024-0044,Trigon,,Chesterfield,DEV,yes,,,,12/1/2030,20250506,20250506,1,Need Meeting,Customer Service
DOM-2025-0005,Amethyst,,Chesterfield,DEV,yes,300.0,20251104:300.0,,10/1/2031,20251104,20251104,1,Need Meeting,Customer Service
DOM-2025-0006,Garnet,,Chesterfield,DEV,yes,300.0,20251104:300.0,,10/1/2028,20251104,20251104,1,Need Meeting,Customer Service
DOM-2025-0007,Topaz,,Chesterfield,DEV,yes,300.0,20251104:300.0,,10/1/2030,20251104,20251104,1,Need Meeting,Customer Service
DOM-2024-0082,Palomino,,Culpeper,DEV,yes,,,,10/15/2027,20250204,20250204,2,Solutions Meeting,Customer Service
DOM-2024-0083,Chandler,,Culpeper,DEV,yes,,,,10/15/2027,20250204,20250204,2,Solution Meeting,Customer Service
DOM-2024-0084,McDevitt,,Culpeper,DEV,yes,,,,01/01/2027,20250204,20250204,2,Solution Meeting,Customer Service
DOM-2024-0084-DNH,,,Culpeper,,yes,,,,,20250204,20250204,2,Solution Meeting,Do-No-Harm analysis
DOM-2024-0085,Cirrus,,Culpeper,DEV,yes,,,,07/01/2028,20250204,20250204,2,Solution Meeting,Customer Service
DOM-2025-0070,Shaw,,Culpeper,REC,yes,300.0,20251008:300.0,,05/01/2028,20251008,20260106,3,Solution Meeting,Customer Service
DOM-2025-0070-DNH,Shaw,DOM-2025-0070,Culpeper,,,,,,,20260602,20260602,2,Solution Meeting,Do No Harm Analysis
DOM-2018-0018,Lucky Hill Helm | Helm,,Fauquier,DEV,yes,,,,09/15/2020,20251008,20251008,2,Solutions Meeting,Customer Service
DOM-2025-0054,West Creek,,Goochland,DEV,,100.0,20251008:100.0,,01/02/2029,20251008,20260106,3,Solution Meeting,Customer Service
DOM-2024-0058,Flamingo,,Hanover,DEV,yes,,,,01/01/2029,20251008,20260908,4,Cancellation Meeting,Customer Service
DOM-2024-0067,Harlem,,Hanover,,yes,,,,01/01/2029,20260908,20260908,1,Cancellation Meeting,Customer Service
DOM-2025-0023,Parham,,Hanover,DEV,,,,,,20250506,20250506,1,Need Meeting,Customer Service
DOM-2022-0062,Tropical,,Henrico,DEV,yes,,,,,20251008,20251008,2,Solution Meeting,Customer Service
DOM-2024-0018,Thicket | White Oak | Chickahominy,DOM-2022-0038-DNH DOM-2024-0019 DOM-2024-0020 DOM-2024-0040,Henrico,DEV,yes,,,,,20250107,20250506,4,Solutions Meeting,Customer Service
DOM-2024-0019,Gray Bark | Saltwood,,Henrico,DEV,yes,,,,7/01/2027,20250107,20250107,2,Solution Meeting,Customer Service
DOM-2024-0020,Saltwood | Thicket,,Henrico,DEV,yes,,,,7/01/2027,20250107,20250107,2,Solution Meeting,Customer Service
DOM-2024-0040,Bunker | Thicket | Saltwood,,Henrico,DEV,yes,,,,,20250107,20250107,2,Solution Meeting,Customer Service
