region,osm_type,osm_id,name,operator,ref,building,telecom,addr_street,addr_city,addr_country,levels,website,lon,lat
US-TX,way,1511639843,,,,yes,data_center,,,,,,-103.805229,31.532749
US-TX,way,1511639844,,,,yes,data_center,,,,,,-103.804192,31.532761
US-TX,way,1511639845,,,,yes,data_center,,,,,,-103.800415,31.533345
US-TX,way,1525436762,Digital Realty,Digital Realty,,yes,data_center,Ferris Road,,,,,-96.650158,32.97443
US-TX,way,1530197817,Digital Realty,Digital Realty,,yes,data_center,,,,,,-96.650123,32.976438
US-TX,way,1530199676,NTT,NTT,,yes,data_center,,,,,,-96.658379,32.979531
US-TX,way,1530200859,Aligned  DFW-02,Aligned,DFW-02,yes,data_center,Summit Avenue,Plano,,,https://aligneddc.com/dallas-data-centers/,-96.675135,33.009003
US-TX,way,1530966366,,,,data_center,data_center,,,,,,-99.776246,32.499988
US-TX,way,1530966367,,,,data_center,data_center,,,,,,-99.777351,32.499975
US-TX,way,1530966368,,,,data_center,data_center,,,,,,-99.776672,32.499053
US-TX,way,1530966369,,,,data_center,data_center,,,,,,-99.77621,32.498125
US-TX,way,1530966370,,,,data_center,data_center,,,,,,-99.77731,32.49811
US-TX,way,1530966371,,,,data_center,data_center,,,,,,-99.779311,32.498095
US-TX,way,1530966372,,,,data_center,data_center,,,,,,-99.780416,32.498086
US-TX,way,1530966373,,,,data_center,data_center,,,,,,-99.779985,32.499021
US-TX,way,1530966374,,,,data_center,data_center,,,,,,-99.780441,32.499949
US-TX,way,1530966375,,,,data_center,data_center,,,,,,-99.779342,32.49996
US-TX,way,1530966376,,,,data_center,data_center,,,,,,-99.782465,32.499955
US-TX,way,1530966377,,,,data_center,data_center,,,,,,-99.783569,32.499942
US-TX,way,1530966378,,,,data_center,data_center,,,,,,-99.782891,32.49902
US-TX,way,1530966379,,,,data_center,data_center,,,,,,-99.782429,32.498092
US-TX,way,1530966380,,,,data_center,data_center,,,,,,-99.783528,32.498077
US-TX,way,1530966381,,,,data_center,data_center,,,,,,-99.785507,32.498049
US-TX,way,1530966382,,,,data_center,data_center,,,,,,-99.786612,32.498041
US-TX,way,1530966383,,,,data_center,data_center,,,,,,-99.786181,32.498975
US-TX,way,1530966384,,,,data_center,data_center,,,,,,-99.786637,32.499904
US-TX,way,1530966385,,,,data_center,data_center,,,,,,-99.785538,32.499915
US-TX,way,1530966386,,,,data_center,data_center,,,,,,-99.791168,32.498463
US-TX,way,1530966387,,,,data_center,data_center,,,,,,-99.792273,32.49845
US-TX,way,1530966388,,,,data_center,data_center,,,,,,-99.791594,32.497527
US-TX,way,1530966389,,,,data_center,data_center,,,,,,-99.791132,32.4966
US-TX,way,1530966390,,,,data_center,data_center,,,,,,-99.792231,32.496585
US-TX,way,1530966391,,,,data_center,data_center,,,,,,-99.794457,32.496564
US-TX,way,1530966392,,,,data_center,data_center,,,,,,-99.795562,32.496555
US-TX,way,1530966393,,,,data_center,data_center,,,,,,-99.795131,32.497489
US-TX,way,1530966394,,,,data_center,data_center,,,,,,-99.795587,32.498418
US-TX,way,1530966395,,,,data_center,data_center,,,,,,-99.794488,32.498429
US-TX,way,1533148730,Vantage TX11,Vantage Data Centers,,yes,data_center,Omicron Drive,San Antonio,,,,-98.790187,29.416857
US-TX,way,1533148752,,,,yes,data_center,,,,,,-98.786424,29.415797
US-TX,way,1533349843,Vantage TX12,Vantage Data Centers,,yes,data_center,Omicron Drive,San Antonio,,,,-98.788866,29.415598
US-TX,way,1533349844,Vantage TX12,Vantage Data Centers,,yes,data_center,Omicron Drive,San Antonio,,,,-98.789751,29.415167
US-TX,way,1533350872,Microsoft,Microsoft,,yes,data_center,,,,,,-98.802904,29.41896
US-TX,way,1533392812,Microsoft SAT 80,Microsoft,,yes,data_center,FM1957,San Antonio,,,,-98.876655,29.429191
US-TX,way,1533392813,Microsoft SAT 81,Microsoft,,yes,data_center,FM1957,San Antonio,,,,-98.876653,29.427998
US-TX,way,1533392814,Microsoft SAT 82,Microsoft,,yes,data_center,FM1957,San Antonio,,,,-98.876638,29.426654
US-TX,way,1535715798,Data Foundry,,,yes,data_center,,,,,,-95.424198,29.945128
US-TX,way,1535752110,Vantage Data Centers TX21,Vantage Data Centers,,yes,data_center,Rogers Road,San Antonio,,,,-98.697525,29.477374
US-TX,way,1536086683,,,,yes,data_center,,,,,,-103.449123,31.513432
US-TX,way,1536086684,,,,yes,data_center,,,,,,-103.448667,31.513879
US-TX,way,1537390734,,,,yes,data_center,,,,,,-98.644087,29.445246
US-TX,way,1537390735,,,,yes,data_center,,,,,,-98.644251,29.445041
US-TX,way,1537390736,,,,yes,data_center,,,,,,-98.644404,29.444851
US-TX,way,1537390737,,,,yes,data_center,,,,,,-98.644556,29.444662
US-TX,way,1537390738,,,,yes,data_center,,,,,,-98.64471,29.444475
US-TX,way,1537390739,,,,yes,data_center,,,,,,-98.644861,29.444286
US-TX,way,1537390740,,,,yes,data_center,,,,,,-98.643546,29.444908
US-TX,way,1537390741,,,,yes,data_center,,,,,,-98.64371,29.4447
US-TX,way,1537390742,,,,yes,data_center,,,,,,-98.643863,29.444513
US-TX,way,1537390743,,,,yes,data_center,,,,,,-98.644015,29.444327
US-TX,way,1537390744,,,,yes,data_center,,,,,,-98.644168,29.444138
US-TX,way,1537390745,,,,yes,data_center,,,,,,-98.644318,29.44395
US-TX,way,1537390746,,,,yes,data_center,,,,,,-98.643813,29.44507
US-TX,way,1537390747,,,,yes,data_center,,,,,,-98.643979,29.444864
US-TX,way,1537390748,,,,yes,data_center,,,,,,-98.644131,29.44468
US-TX,way,1537390749,,,,yes,data_center,,,,,,-98.644282,29.444488
US-TX,way,1537390750,,,,yes,data_center,,,,,,-98.644434,29.444302
US-TX,way,1537390751,,,,yes,data_center,,,,,,-98.644585,29.444115
US-TX,way,1547829413,,,,yes,data_center,,,,,,-103.238549,31.103474
US-TX,way,1547829414,,,,yes,data_center,,,,,,-103.238376,31.103665
US-TX,relation,21073054,IONIC Digital Cedarvale,IONIC Digital,,,data_center,,,,,,-103.44854,31.513447
