asset_id,kind,pwsid,pws_name,primacy_agency,population_served,service_connections,boundary_method,verification_status,data_source,echo_url,overlapping_systems
site-500623e783,site,GA1210001,ATLANTA,GA,1089893,262059,System Sourced,,,https://echo.epa.gov/detailed-facility-report?fid=GA1210001&sys=SDWIS,1
site-3912b9caf4,site,SC4620003,YORK COUNTY WEST WD (SC4620003),SC,18273,7532,System Sourced,,https://www.arcgis.com/home/item.html?id=1b8a0fe1fc8a4129986e73549a33e19e,https://echo.epa.gov/detailed-facility-report?fid=SC4620003&sys=SDWIS,1
site-6d227d3208,site,IL0316000,CHICAGO,IL,2746388,484979,System Sourced,,https://sli.chicagowaterquality.org/,https://echo.epa.gov/detailed-facility-report?fid=IL0316000&sys=SDWIS,1
site-df5dff6531,site,TX2200012,CITY OF FORT WORTH,TX,955900,653251,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX2200012&sys=SDWIS,1
site-271c0a5d3e,site,UTAH25142,EAGLE MOUNTAIN CITY,UT,61266,14917,System Sourced,,https://dwre-utahdnr.opendata.arcgis.com/datasets/culinarywaterserviceareas/explore,https://echo.epa.gov/detailed-facility-report?fid=UTAH25142&sys=SDWIS,1
site-852dc23e83,site,TX0570050,CITY OF IRVING,TX,264546,110942,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX0570050&sys=SDWIS,1
site-554e4c6fe5,site,NJ0906001,JERSEY CITY MUA,NJ,262000,36000,System Sourced,,https://rutgers.maps.arcgis.com/home/item.html?id=0cb88cd0315e48f491f2122cb824c158,https://echo.epa.gov/detailed-facility-report?fid=NJ0906001&sys=SDWIS,1
site-ac5e73b2c3,site,VA6153251,PWCSA - WEST,VA,136409,42896,System Sourced,,https://services2.arcgis.com/9mMyRMFMS5yNDCCd/arcgis/rest/services/Service_Line_Inventory/FeatureServer/0,https://echo.epa.gov/detailed-facility-report?fid=VA6153251&sys=SDWIS,1
site-4f23e9f978,site,FL4130871,MDWASA - MAIN SYSTEM,FL,2300000,560000,System Sourced,,https://experience.arcgis.com/experience/914132252dbb4639873d02988af59f23/page/english,https://echo.epa.gov/detailed-facility-report?fid=FL4130871&sys=SDWIS,1
site-85b70d9c6d,site,OH2504412,COLUMBUS PUBLIC WATER SYSTEM,OH,1305946,284610,System Sourced,,https://service-line-inventory-columbus.hub.arcgis.com/,https://echo.epa.gov/detailed-facility-report?fid=OH2504412&sys=SDWIS,1
site-f4526d208a,site,OH2504412,COLUMBUS PUBLIC WATER SYSTEM,OH,1305946,284610,System Sourced,,https://service-line-inventory-columbus.hub.arcgis.com/,https://echo.epa.gov/detailed-facility-report?fid=OH2504412&sys=SDWIS,1
site-81c8f62609,site,KS2009110,WATER DISTRICT 1 OF JOHNSON CO,KS,482000,157164,System Sourced,,https://hub.kansasgis.org/maps/KSDOT::rural-water-districts/about ,https://echo.epa.gov/detailed-facility-report?fid=KS2009110&sys=SDWIS,1
site-d9cd6d27ea,site,AZ0407025,PHOENIX CITY OF,AZ,1695000,430118,System Sourced,,https://gisdata2016-11-18t150447874z-azwater.opendata.arcgis.com/datasets/cws-service-area-1/about,https://echo.epa.gov/detailed-facility-report?fid=AZ0407025&sys=SDWIS,1
site-953d13c9a2,site,NJ2004002,NJ AMERICAN WATER - RARITAN,NJ,615430,205035,System Sourced,,https://rutgers.maps.arcgis.com/home/item.html?id=0cb88cd0315e48f491f2122cb824c158,https://echo.epa.gov/detailed-facility-report?fid=NJ2004002&sys=SDWIS,1
site-6bedd3eb10,site,NJ1101002,EAST WINDSOR MUA,NJ,25000,6996,System Sourced,,https://rutgers.maps.arcgis.com/home/item.html?id=0cb88cd0315e48f491f2122cb824c158,https://echo.epa.gov/detailed-facility-report?fid=NJ1101002&sys=SDWIS,1
site-b808155308,site,VA4087125,HENRICO COUNTY WATER SYSTEM,VA,292000,95816,System Sourced,,https://services.arcgis.com/LxWK4CxNTBBlLshT/arcgis/rest/services/Parcel_Lead_Status_Point/FeatureServer/2,https://echo.epa.gov/detailed-facility-report?fid=VA4087125&sys=SDWIS,1
site-90a29a12e9,site,VA4087125,HENRICO COUNTY WATER SYSTEM,VA,292000,95816,System Sourced,,https://services.arcgis.com/LxWK4CxNTBBlLshT/arcgis/rest/services/Parcel_Lead_Status_Point/FeatureServer/2,https://echo.epa.gov/detailed-facility-report?fid=VA4087125&sys=SDWIS,1
site-963f1f88ba,site,CA3410029,SCWA - LAGUNA/VINEYARD,CA,184896,50936,System Sourced,Verified,https://gis.data.ca.gov/datasets/fbba842bf134497c9d611ad506ec48cc/explore,https://echo.epa.gov/detailed-facility-report?fid=CA3410029&sys=SDWIS,1
site-ffc4d817c9,site,TX0150018,SAN ANTONIO WATER SYSTEM,TX,1999472,725972,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX0150018&sys=SDWIS,1
site-8109dd6bbd,site,CA4310012,CITY OF SANTA CLARA,CA,130746,24103,System Sourced,Verified,https://gis.data.ca.gov/datasets/fbba842bf134497c9d611ad506ec48cc/explore,https://echo.epa.gov/detailed-facility-report?fid=CA4310012&sys=SDWIS,2
site-d0c8aff65b,site,GA1350004,GWINNETT CO. DEPT. OF WATER RESOURCES,GA,975000,260400,System Sourced,,https://services3.arcgis.com/RfpmnkSAQleRbndX/arcgis/rest/services/Water_Meters_LCCR_Hosted_Feature_Layer_for_Updates/FeatureServer/0,https://echo.epa.gov/detailed-facility-report?fid=GA1350004&sys=SDWIS,1
site-be7e007bd6,site,KY0340250,KENTUCKY-AMERICAN WATER CO,KY,299501,134973,System Sourced,,https://kygisserver.ky.gov/arcgis/rest/services/WGS84WM_Services/Ky_Water_WGS84WM/MapServer/11,https://echo.epa.gov/detailed-facility-report?fid=KY0340250&sys=SDWIS,1
site-5c2e6e06b0,site,IL1270150,METROPOLIS,IL,6309,2432,Modeled,,,https://echo.epa.gov/detailed-facility-report?fid=IL1270150&sys=SDWIS,1
site-e4ffdaae0c,site,KY0730533,PADUCAH WATER WORKS,KY,65004,31473,System Sourced,,https://kygisserver.ky.gov/arcgis/rest/services/WGS84WM_Services/Ky_Water_WGS84WM/MapServer/11,https://echo.epa.gov/detailed-facility-report?fid=KY0730533&sys=SDWIS,1
site-2fc67e11c5,site,CA1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",CA,3856043,709623,System Sourced,Verified,https://gis.data.ca.gov/datasets/fbba842bf134497c9d611ad506ec48cc/explore,https://echo.epa.gov/detailed-facility-report?fid=CA1910067&sys=SDWIS,1
site-b9cdb1dc09,site,TX1010013,CITY OF HOUSTON,TX,2202531,954657,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX1010013&sys=SDWIS,1
site-d790fb4a36,site,CA3110008,CITY OF ROSEVILLE,CA,155612,52040,System Sourced,Verified,https://gis.data.ca.gov/datasets/fbba842bf134497c9d611ad506ec48cc/explore,https://echo.epa.gov/detailed-facility-report?fid=CA3110008&sys=SDWIS,1
site-cdd1387cbd,site,PA1510001,PHILADELPHIA WATER DEPARTMENT,PA,1600000,524021,System Sourced,,https://newdata-padep-1.opendata.arcgis.com/maps/fdf53cdeb2ec42b8a9422569f2e9531b/about,https://echo.epa.gov/detailed-facility-report?fid=PA1510001&sys=SDWIS,1
site-413a954e3c,site,VA4087125,HENRICO COUNTY WATER SYSTEM,VA,292000,95816,System Sourced,,https://services.arcgis.com/LxWK4CxNTBBlLshT/arcgis/rest/services/Parcel_Lead_Status_Point/FeatureServer/2,https://echo.epa.gov/detailed-facility-report?fid=VA4087125&sys=SDWIS,1
site-54a2334132,site,VA4087125,HENRICO COUNTY WATER SYSTEM,VA,292000,95816,System Sourced,,https://services.arcgis.com/LxWK4CxNTBBlLshT/arcgis/rest/services/Parcel_Lead_Status_Point/FeatureServer/2,https://echo.epa.gov/detailed-facility-report?fid=VA4087125&sys=SDWIS,1
site-43b250cd5f,site,AL0001070,MONTGOMERY WATER WORKS,AL,238536,79512,System Sourced,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001070&sys=SDWIS,1
site-d635a6e409,site,OK1020902,OKLAHOMA CITY,OK,644000,254388,System Sourced,,https://epa.maps.arcgis.com/home/item.html?id=a933ce92b4944c5c8a6b75a162e865c9,https://echo.epa.gov/detailed-facility-report?fid=OK1020902&sys=SDWIS,1
site-53bb161f07,site,TX2200013,CITY OF GRAPEVINE,TX,50631,25478,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX2200013&sys=SDWIS,1
site-0a5a5d5d66,site,TX0570015,CITY OF RICHARDSON,TX,122615,58307,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX0570015&sys=SDWIS,1
site-ecad3905a2,site,NJ2004002,NJ AMERICAN WATER - RARITAN,NJ,615430,205035,System Sourced,,https://rutgers.maps.arcgis.com/home/item.html?id=0cb88cd0315e48f491f2122cb824c158,https://echo.epa.gov/detailed-facility-report?fid=NJ2004002&sys=SDWIS,1
site-da9cdd3633,site,OH2504412,COLUMBUS PUBLIC WATER SYSTEM,OH,1305946,284610,System Sourced,,https://service-line-inventory-columbus.hub.arcgis.com/,https://echo.epa.gov/detailed-facility-report?fid=OH2504412&sys=SDWIS,1
site-f54e4eb143,site,TX0570004,DALLAS WATER UTILITY,TX,1356479,958265,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX0570004&sys=SDWIS,1
site-a7a3e52738,site,CA3410029,SCWA - LAGUNA/VINEYARD,CA,184896,50936,System Sourced,Verified,https://gis.data.ca.gov/datasets/fbba842bf134497c9d611ad506ec48cc/explore,https://echo.epa.gov/detailed-facility-report?fid=CA3410029&sys=SDWIS,1
site-2b8f91bac0,site,CA3410029,SCWA - LAGUNA/VINEYARD,CA,184896,50936,System Sourced,Verified,https://gis.data.ca.gov/datasets/fbba842bf134497c9d611ad506ec48cc/explore,https://echo.epa.gov/detailed-facility-report?fid=CA3410029&sys=SDWIS,1
